twhandle,name,fcnt,profs
@gokhantepemusic,Gökhan Tepe,0,Musician
@gokselonline,Göksel,27,Musician
@Gonca_Vuslateri,Gonca Vuslateri,32,TV Series actor
@GonenCenk,Cenk Gönen,1,Athlete
@gorguntaner,Görgün Taner,1,Executive
@GozdeKansu,Gözde Kansu,5,"Artist, TV host"
@guldalaksit,Güldal Akşit,9,"MP, AKP"
@Guldenay007,Güldenay Sonumut,12,Journalist
@gulerkomurcu,Güler Kömürcü,7,Journalist
@gulhantekin,Gülhan Tekin,9,Artist
@gulsenin,Gülşen,27,Musician
@gulserenonanc,Gülseren Onanç,7,"Politician, Social entrepreneur"
@GultekinAvc,Gültekin Avcı,10,"Columnist, Legist"
@gultekinbulent,Bülent Gültekin,5,"Academician, Emeritus bureaucrat"
@gunaydingokhan,Gökhan Günaydın,6,"CHP, MP"
@gundesbakir,Pelin Gündeş Bakır,2,"Academician, AKP, MP"
@GunerFuat,Fuat Güner,3,Artist
@gupseo,Gupse Özay,39,TV Series actor
@gurcanbalik,GURCAN BALIK,1,"Consultant, Bureaucrat"
